==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=1_iter=6
date & time of start is : 2023-08-17 19:42:32
torch version is: 1.8.0+cu111
number of GPUs: 2
device: cuda:1
model used for this training is: DYCRNN
Total Trainable Params: 11.061 M
   training starts!
[Epc 38] tt: 0.251, cl_st: 0.143, cl_wk: 0.176, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.094, t_vl: 1.119, t: 128s
[Epc 39] tt: 0.236, cl_st: 0.139, cl_wk: 0.153, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.142, t_vl: 1.071, t: 128s
[Epc 40] tt: 0.252, cl_st: 0.138, cl_wk: 0.184, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.097, t_vl: 1.132, t: 128s
[Epc 41] tt: 0.240, cl_st: 0.134, cl_wk: 0.167, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.067, t_vl: 1.150, t: 128s
[Epc 42] tt: 0.233, cl_st: 0.129, cl_wk: 0.162, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.162, t_vl: 1.139, t: 127s
[Epc 43] tt: 0.240, cl_st: 0.137, cl_wk: 0.158, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.203, t_vl: 1.188, t: 128s
[Epc 44] tt: 0.230, cl_st: 0.127, cl_wk: 0.160, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.103, t_vl: 1.162, t: 128s
[Epc 45] tt: 0.232, cl_st: 0.127, cl_wk: 0.162, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.144, t_vl: 1.142, t: 128s
[Epc 46] tt: 0.240, cl_st: 0.130, cl_wk: 0.170, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.162, t_vl: 1.156, t: 128s
[Epc 47] tt: 0.230, cl_st: 0.125, cl_wk: 0.160, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.090, t_vl: 1.184, t: 128s
[Epc 48] tt: 0.218, cl_st: 0.124, cl_wk: 0.137, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.161, t_vl: 1.215, t: 128s
[Epc 49] tt: 0.227, cl_st: 0.124, cl_wk: 0.154, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.168, t_vl: 1.246, t: 128s
[Epc 50] tt: 0.218, cl_st: 0.122, cl_wk: 0.142, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.185, t_vl: 1.207, t: 128s
[Epc 51] tt: 0.228, cl_st: 0.132, cl_wk: 0.144, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.225, t_vl: 1.249, t: 128s
[Epc 52] tt: 0.227, cl_st: 0.122, cl_wk: 0.159, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.134, t_vl: 1.189, t: 128s
[Epc 53] tt: 0.218, cl_st: 0.120, cl_wk: 0.148, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.245, t_vl: 1.251, t: 128s
[Epc 54] tt: 0.215, cl_st: 0.123, cl_wk: 0.133, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.224, t_vl: 1.273, t: 128s
[Epc 55] tt: 0.213, cl_st: 0.120, cl_wk: 0.138, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.254, t_vl: 1.283, t: 129s
[Epc 56] tt: 0.212, cl_st: 0.120, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.186, t_vl: 1.259, t: 128s
[Epc 57] tt: 0.201, cl_st: 0.113, cl_wk: 0.128, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.286, t_vl: 1.271, t: 128s
[Epc 58] tt: 0.213, cl_st: 0.121, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.228, t_vl: 1.252, t: 128s
[Epc 59] tt: 0.206, cl_st: 0.115, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.246, t_vl: 1.260, t: 128s
[Epc 60] tt: 0.205, cl_st: 0.113, cl_wk: 0.140, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.224, t_vl: 1.285, t: 128s
[Epc 61] tt: 0.207, cl_st: 0.117, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.259, t_vl: 1.292, t: 128s
[Epc 62] tt: 0.204, cl_st: 0.115, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.257, t_vl: 1.323, t: 128s
[Epc 63] tt: 0.200, cl_st: 0.110, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.283, t_vl: 1.307, t: 128s
[Epc 64] tt: 0.187, cl_st: 0.106, cl_wk: 0.115, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.294, t_vl: 1.320, t: 128s
[Epc 65] tt: 0.192, cl_st: 0.112, cl_wk: 0.113, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.262, t_vl: 1.314, t: 128s
[Epc 66] tt: 0.197, cl_st: 0.109, cl_wk: 0.128, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.314, t_vl: 1.303, t: 128s
[Epc 67] tt: 0.203, cl_st: 0.114, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.211, t_vl: 1.307, t: 128s
[Epc 68] tt: 0.188, cl_st: 0.104, cl_wk: 0.121, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.302, t_vl: 1.350, t: 128s
[Epc 69] tt: 0.195, cl_st: 0.108, cl_wk: 0.125, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.315, t_vl: 1.348, t: 128s
[Epc 70] tt: 0.202, cl_st: 0.117, cl_wk: 0.123, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.298, t_vl: 1.331, t: 128s
[Epc 71] tt: 0.195, cl_st: 0.107, cl_wk: 0.128, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.300, t_vl: 1.353, t: 128s
[Epc 72] tt: 0.188, cl_st: 0.109, cl_wk: 0.114, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.331, t_vl: 1.326, t: 129s
[Epc 73] tt: 0.187, cl_st: 0.106, cl_wk: 0.114, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.315, t_vl: 1.347, t: 128s
[Epc 74] tt: 0.181, cl_st: 0.101, cl_wk: 0.114, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.328, t_vl: 1.357, t: 128s
[Epc 75] tt: 0.180, cl_st: 0.104, cl_wk: 0.106, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.352, t_vl: 1.375, t: 128s
[Epc 76] tt: 0.197, cl_st: 0.108, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.326, t_vl: 1.345, t: 128s
[Epc 77] tt: 0.190, cl_st: 0.109, cl_wk: 0.117, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.198, t_vl: 1.349, t: 128s
[Epc 78] tt: 0.180, cl_st: 0.102, cl_wk: 0.112, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.295, t_vl: 1.340, t: 129s
[Epc 79] tt: 0.187, cl_st: 0.108, cl_wk: 0.114, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.329, t_vl: 1.351, t: 128s
[Epc 80] tt: 0.185, cl_st: 0.106, cl_wk: 0.109, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.360, t_vl: 1.386, t: 128s
[Epc 81] tt: 0.175, cl_st: 0.098, cl_wk: 0.106, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.304, t_vl: 1.407, t: 128s
[Epc 82] tt: 0.175, cl_st: 0.100, cl_wk: 0.104, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.361, t_vl: 1.393, t: 128s
[Epc 83] tt: 0.177, cl_st: 0.093, cl_wk: 0.123, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.350, t_vl: 1.376, t: 128s
[Epc 84] tt: 0.185, cl_st: 0.101, cl_wk: 0.122, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.320, t_vl: 1.401, t: 128s
[Epc 85] tt: 0.173, cl_st: 0.097, cl_wk: 0.109, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.324, t_vl: 1.387, t: 128s
[Epc 86] tt: 0.183, cl_st: 0.106, cl_wk: 0.107, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.358, t_vl: 1.398, t: 129s
[Epc 87] tt: 0.195, cl_st: 0.109, cl_wk: 0.126, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.330, t_vl: 1.398, t: 128s
