==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=7
date & time of start is : 2023-08-18 06:22:57
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 11.061 M
   training starts!
[Epc 38] tt: 0.249, cl_st: 0.141, cl_wk: 0.177, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.159, t_vl: 1.089, t: 135s
[Epc 39] tt: 0.239, cl_st: 0.141, cl_wk: 0.153, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.128, t_vl: 1.115, t: 135s
[Epc 40] tt: 0.252, cl_st: 0.139, cl_wk: 0.181, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.110, t_vl: 1.094, t: 134s
[Epc 41] tt: 0.240, cl_st: 0.134, cl_wk: 0.167, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.152, t_vl: 1.179, t: 135s
[Epc 42] tt: 0.232, cl_st: 0.129, cl_wk: 0.160, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.130, t_vl: 1.127, t: 135s
[Epc 43] tt: 0.238, cl_st: 0.137, cl_wk: 0.156, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.155, t_vl: 1.190, t: 136s
[Epc 44] tt: 0.230, cl_st: 0.126, cl_wk: 0.158, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.186, t_vl: 1.186, t: 135s
[Epc 45] tt: 0.236, cl_st: 0.129, cl_wk: 0.164, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.171, t_vl: 1.132, t: 136s
[Epc 46] tt: 0.241, cl_st: 0.131, cl_wk: 0.172, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.182, t_vl: 1.215, t: 136s
[Epc 47] tt: 0.229, cl_st: 0.123, cl_wk: 0.161, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.124, t_vl: 1.177, t: 135s
[Epc 48] tt: 0.213, cl_st: 0.121, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.141, t_vl: 1.269, t: 135s
[Epc 49] tt: 0.227, cl_st: 0.124, cl_wk: 0.154, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.188, t_vl: 1.253, t: 135s
[Epc 50] tt: 0.217, cl_st: 0.123, cl_wk: 0.139, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.103, t_vl: 1.169, t: 136s
[Epc 51] tt: 0.227, cl_st: 0.131, cl_wk: 0.144, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.263, t_vl: 1.276, t: 135s
[Epc 52] tt: 0.225, cl_st: 0.122, cl_wk: 0.156, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.240, t_vl: 1.214, t: 134s
[Epc 53] tt: 0.219, cl_st: 0.120, cl_wk: 0.147, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.263, t_vl: 1.265, t: 134s
[Epc 54] tt: 0.212, cl_st: 0.122, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.276, t_vl: 1.261, t: 135s
[Epc 55] tt: 0.211, cl_st: 0.121, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.261, t_vl: 1.316, t: 136s
[Epc 56] tt: 0.211, cl_st: 0.118, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.266, t_vl: 1.320, t: 136s
[Epc 57] tt: 0.197, cl_st: 0.109, cl_wk: 0.128, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.281, t_vl: 1.307, t: 136s
[Epc 58] tt: 0.211, cl_st: 0.120, cl_wk: 0.133, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.266, t_vl: 1.279, t: 135s
[Epc 59] tt: 0.210, cl_st: 0.117, cl_wk: 0.136, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.317, t_vl: 1.315, t: 135s
[Epc 60] tt: 0.208, cl_st: 0.114, cl_wk: 0.141, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.261, t_vl: 1.312, t: 135s
[Epc 61] tt: 0.208, cl_st: 0.120, cl_wk: 0.128, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.258, t_vl: 1.322, t: 136s
[Epc 62] tt: 0.199, cl_st: 0.113, cl_wk: 0.125, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.286, t_vl: 1.341, t: 137s
[Epc 63] tt: 0.197, cl_st: 0.107, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.294, t_vl: 1.281, t: 137s
[Epc 64] tt: 0.184, cl_st: 0.104, cl_wk: 0.114, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.339, t_vl: 1.342, t: 135s
[Epc 65] tt: 0.194, cl_st: 0.112, cl_wk: 0.113, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.245, t_vl: 1.342, t: 135s
[Epc 66] tt: 0.202, cl_st: 0.112, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.299, t_vl: 1.371, t: 135s
[Epc 67] tt: 0.205, cl_st: 0.114, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.254, t_vl: 1.303, t: 135s
[Epc 68] tt: 0.186, cl_st: 0.103, cl_wk: 0.119, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.302, t_vl: 1.392, t: 137s
