==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=2
date & time of start is : 2024-11-07 15:29:47
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 5.401 M
   training starts!
[Epc 38] tt: 0.251, cl_st: 0.142, cl_wk: 0.175, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.038, t_vl: 1.106, t: 80s
[Epc 39] tt: 0.237, cl_st: 0.139, cl_wk: 0.154, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.052, t_vl: 1.129, t: 80s
[Epc 40] tt: 0.241, cl_st: 0.133, cl_wk: 0.173, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.191, t_vl: 1.088, t: 80s
[Epc 41] tt: 0.245, cl_st: 0.137, cl_wk: 0.168, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.166, t_vl: 1.166, t: 81s
[Epc 42] tt: 0.233, cl_st: 0.128, cl_wk: 0.161, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.099, t_vl: 1.150, t: 80s
[Epc 43] tt: 0.241, cl_st: 0.136, cl_wk: 0.161, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.088, t_vl: 1.180, t: 80s
[Epc 44] tt: 0.230, cl_st: 0.124, cl_wk: 0.163, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.137, t_vl: 1.170, t: 81s
[Epc 45] tt: 0.236, cl_st: 0.127, cl_wk: 0.162, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.093, t_vl: 1.200, t: 80s
[Epc 46] tt: 0.245, cl_st: 0.131, cl_wk: 0.175, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.209, t_vl: 1.232, t: 81s
[Epc 47] tt: 0.238, cl_st: 0.129, cl_wk: 0.167, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.177, t_vl: 1.214, t: 80s
[Epc 48] tt: 0.217, cl_st: 0.125, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.224, t_vl: 1.250, t: 81s
[Epc 49] tt: 0.229, cl_st: 0.125, cl_wk: 0.154, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.236, t_vl: 1.294, t: 81s
[Epc 50] tt: 0.226, cl_st: 0.125, cl_wk: 0.148, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.255, t_vl: 1.273, t: 80s
[Epc 51] tt: 0.228, cl_st: 0.127, cl_wk: 0.150, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.116, t_vl: 1.241, t: 81s
[Epc 52] tt: 0.233, cl_st: 0.127, cl_wk: 0.160, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.230, t_vl: 1.278, t: 81s
[Epc 53] tt: 0.219, cl_st: 0.119, cl_wk: 0.150, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.284, t_vl: 1.240, t: 81s
[Epc 54] tt: 0.220, cl_st: 0.125, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.258, t_vl: 1.319, t: 81s
[Epc 55] tt: 0.221, cl_st: 0.124, cl_wk: 0.141, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.225, t_vl: 1.275, t: 81s
[Epc 56] tt: 0.219, cl_st: 0.125, cl_wk: 0.137, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.231, t_vl: 1.295, t: 81s
[Epc 57] tt: 0.206, cl_st: 0.114, cl_wk: 0.132, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.287, t_vl: 1.297, t: 81s
[Epc 58] tt: 0.210, cl_st: 0.120, cl_wk: 0.132, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.249, t_vl: 1.285, t: 81s
[Epc 59] tt: 0.215, cl_st: 0.120, cl_wk: 0.138, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.208, t_vl: 1.258, t: 81s
[Epc 60] tt: 0.216, cl_st: 0.120, cl_wk: 0.142, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.296, t_vl: 1.307, t: 81s
[Epc 61] tt: 0.209, cl_st: 0.118, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.250, t_vl: 1.284, t: 81s
[Epc 62] tt: 0.205, cl_st: 0.114, cl_wk: 0.132, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.266, t_vl: 1.334, t: 81s
[Epc 63] tt: 0.203, cl_st: 0.111, cl_wk: 0.137, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.209, t_vl: 1.338, t: 81s
[Epc 64] tt: 0.203, cl_st: 0.118, cl_wk: 0.120, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.305, t_vl: 1.318, t: 81s
[Epc 65] tt: 0.199, cl_st: 0.115, cl_wk: 0.117, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.290, t_vl: 1.336, t: 82s
[Epc 66] tt: 0.207, cl_st: 0.114, cl_wk: 0.137, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.322, t_vl: 1.326, t: 82s
[Epc 67] tt: 0.198, cl_st: 0.110, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.343, t_vl: 1.359, t: 81s
[Epc 68] tt: 0.203, cl_st: 0.114, cl_wk: 0.126, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.208, t_vl: 1.304, t: 82s
[Epc 69] tt: 0.196, cl_st: 0.107, cl_wk: 0.128, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.295, t_vl: 1.312, t: 81s
[Epc 70] tt: 0.201, cl_st: 0.114, cl_wk: 0.125, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.317, t_vl: 1.337, t: 82s
